date,pred_cases_mean,pred_cases_q10,pred_cases_q90,ess
2022-01-01,70290.18517260494,70258.46005839916,70321.75598476715,299.99999999999994
2022-01-02,69080.40508606464,69049.52243222402,69110.43082403496,299.99999999999994
2022-01-03,67892.50224116546,67861.80773277086,67922.38763368654,299.9980745553324
2022-01-04,66726.2091775235,66696.24310306768,66755.54652233425,299.99999999999994
2022-01-05,65581.61126123261,65550.92226878076,65610.0246295598,299.99999999999994
2022-01-06,64458.55487265149,64429.20866031589,64486.23124989086,299.99923993759217
2022-01-07,63357.08600902739,63328.22458207144,63384.73215868744,299.9975942662803
2022-01-08,62277.0325306889,62249.25717216678,62303.90212051253,299.99999999999994
2022-01-09,61218.07172095904,61191.031167659385,61243.96491716388,299.99999999999994
2022-01-10,60180.126519983154,60153.83951757295,60205.878923007076,299.99999999999994
2022-01-11,59163.047055198964,59137.39816346235,59188.112906796814,299.99999999999994
2022-01-12,58166.62695159405,58141.51423722314,58190.975014078984,299.99999999999994
2022-01-13,57190.74841451879,57165.538671876304,57214.25247943806,299.99999999999994
2022-01-14,56235.07127974661,56210.61463436813,56258.53577512785,299.99999999999994
2022-01-15,55299.40485970974,55275.03802155031,55322.352994682675,299.99999999999994
2022-01-16,54383.51716709832,54360.35297462001,54405.9325889993,299.99999999999994
2022-01-17,53487.082453315415,53464.20209807502,53509.071878033996,299.99999999999994
2022-01-18,52609.86130977057,52587.593040452135,52631.17480290239,299.99999999999994
2022-01-19,51751.59912792827,51729.62384411556,51772.00968832666,299.99999999999994
2022-01-20,50911.96139780354,50890.91113491407,50932.48214764724,299.99999999999994
2022-01-21,50090.71930643626,50070.200652251915,50110.00710661905,299.99999999999994
2022-01-22,49287.698550100664,49268.11310662686,49306.68141230936,299.99999999999994
2022-01-23,48502.56015007309,48482.82572202182,48521.20516622797,299.99999999999994
2022-01-24,47734.842348559665,47716.073647994286,47753.0248421062,299.99999999999994
2022-01-25,46984.34357330213,46965.68425663695,47002.777186290245,299.99999999999994
2022-01-26,46250.86585472462,46232.84138357122,46268.75921569643,299.99999999999994
2022-01-27,45534.01155211586,45516.30147471376,45551.72871119057,299.99999999999994
2022-01-28,44833.476433192904,44816.07200962195,44850.58718281376,299.99999999999994
2022-01-29,44149.22037670192,44131.84250184546,44165.59940221277,299.92809918346654
2022-01-30,43480.38778833625,43463.54541182702,43496.5064167367,299.99999999999994
2022-01-31,42827.12066561901,42810.54253500648,42842.30279493573,299.99999999999994
2022-02-01,42189.04699294322,42173.60566150046,42203.900197713505,299.99999999999994
2022-02-02,41565.846466732764,41550.835988652856,41580.75613027697,299.99999999999994
2022-02-03,40957.327061078504,40942.80251452066,40971.80876125437,299.99999999999994
2022-02-04,40363.05550536188,40349.12178877668,40377.15754150948,299.99999999999994
2022-02-05,39782.993887841614,39768.73379589333,39795.88106924884,299.8907437068708
2022-02-06,39216.34764712933,39203.16726751065,39229.91365178743,299.99999999999994
2022-02-07,38663.3325532611,38650.52733319618,38676.410672067424,299.99999999999994
2022-02-08,38123.52478031484,38111.03228058198,38136.410532757065,299.99999999999994
2022-02-09,37596.59151031947,37584.351525376806,37609.358003511144,299.99999999999994
2022-02-10,37082.44984115069,37070.75454429189,37095.123824492824,299.99999999999994
2022-02-11,36580.69790331843,36569.12026419646,36592.9898968446,299.99999999999994
2022-02-12,36091.064374276815,36079.54522014728,36102.80940727634,299.99999999999994
2022-02-13,35613.41264262167,35602.02915560485,35624.52641503623,299.90128001546725
2022-02-14,35147.24147490419,35136.505267560795,35158.10804023115,299.99999999999994
2022-02-15,34692.53750561215,34682.2779961399,34703.33158935878,299.99999999999994
2022-02-16,34249.01123480527,34238.62311909533,34259.1923735012,299.99999999999994
2022-02-17,33816.58057583288,33806.4675715637,33826.50111923851,299.9092744429723
2022-02-18,33394.5882138137,33384.92794916929,33404.16426232536,299.99999999999994
2022-02-19,32983.1611555483,32974.04910590258,32992.7019752358,299.99999999999994
2022-02-20,32582.139802708974,32572.922957244315,32591.18464542993,299.91771873854816
2022-02-21,32190.927013478402,32181.92117426975,32200.193553849884,299.99999999999994
2022-02-22,31809.67912506559,31801.033954183946,31818.370649884804,299.9216668348264
2022-02-23,31437.899690444643,31429.511789798165,31446.353122115586,299.99999999999994
2022-02-24,31075.59074397027,31067.047940760727,31083.82602771899,299.99999999999994
2022-02-25,30722.438946905364,30713.891939865527,30730.61167266631,299.99999999999994
2022-02-26,30378.408911355447,30370.134564059754,30386.574026000082,299.99999999999994
2022-02-27,30043.312583757393,30035.63929942031,30050.92456185683,299.9266052502458
2022-02-28,29716.648486412072,29709.00465898508,29724.287337349124,299.99999999999994
2022-03-01,29398.633756552168,29391.334850671596,29405.82354533517,299.91655088148985
2022-03-02,29088.694000622938,29081.610046565882,29095.682362566004,299.99999999999994
2022-03-03,28786.926498912915,28779.936896747648,28793.82952106537,299.99999999999994
2022-03-04,28493.108294808175,28486.38829022046,28500.03566558703,299.99999999999994
2022-03-05,28207.095005841296,28200.806897856117,28213.743846457066,299.99999999999994
2022-03-06,27928.648067286336,27922.293357440307,27935.03981356334,299.99999999999994
2022-03-07,27657.718317986506,27651.656321494334,27664.173455951503,299.99999999999994
2022-03-08,27394.103965856513,27388.010494292368,27400.45975045859,299.99999999999994
2022-03-09,27137.6001928238,27131.711569472605,27143.842228655394,299.99999999999994
2022-03-10,26888.108938688216,26882.567772809947,26894.044611989575,299.99999999999994
2022-03-11,26645.587091006466,26639.483467732793,26651.243145650613,299.99999999999994
2022-03-12,26409.748755302764,26404.11878681418,26415.44725958514,299.99999999999994
2022-03-13,26180.56426635882,26174.909794756553,26186.398977327714,299.8239641273495
2022-03-14,25957.706051608464,25952.246347346343,25963.163775737343,299.99999999999994
2022-03-15,25741.403794240116,25735.990993506213,25746.97380571376,299.8123558990632
