date,disease,country,region_id,region_name,signal_type,value,population,source,is_smoothed,is_imputed,quality_flag
2020-06-24,COVID-19,Germany,DE,Germany,reported_cases,191449,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-25,COVID-19,Germany,DE,Germany,reported_cases,192079,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-26,COVID-19,Germany,DE,Germany,reported_cases,192556,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-27,COVID-19,Germany,DE,Germany,reported_cases,193243,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-28,COVID-19,Germany,DE,Germany,reported_cases,193499,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-29,COVID-19,Germany,DE,Germany,reported_cases,193761,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-06-30,COVID-19,Germany,DE,Germany,reported_cases,194259,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-01,COVID-19,Germany,DE,Germany,reported_cases,194725,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-02,COVID-19,Germany,DE,Germany,reported_cases,195228,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-03,COVID-19,Germany,DE,Germany,reported_cases,195674,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-04,COVID-19,Germany,DE,Germany,reported_cases,196096,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-05,COVID-19,Germany,DE,Germany,reported_cases,196335,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-06,COVID-19,Germany,DE,Germany,reported_cases,196554,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-07,COVID-19,Germany,DE,Germany,reported_cases,196944,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-08,COVID-19,Germany,DE,Germany,reported_cases,197341,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-09,COVID-19,Germany,DE,Germany,reported_cases,197783,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-10,COVID-19,Germany,DE,Germany,reported_cases,198178,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-11,COVID-19,Germany,DE,Germany,reported_cases,198556,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-12,COVID-19,Germany,DE,Germany,reported_cases,198804,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-13,COVID-19,Germany,DE,Germany,reported_cases,198963,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-14,COVID-19,Germany,DE,Germany,reported_cases,199375,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-15,COVID-19,Germany,DE,Germany,reported_cases,199726,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-16,COVID-19,Germany,DE,Germany,reported_cases,200260,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
2020-07-17,COVID-19,Germany,DE,Germany,reported_cases,200843,,RKI COVID-19-Todesfaelle_in_Deutschland,False,False,raw
