date,cases_mean,cases_q10,cases_q90,deaths_mean,deaths_q10,deaths_q90,icu_mean,icu_q10,icu_q90,hospitalization_proxy_mean,hospitalization_proxy_q10,hospitalization_proxy_q90,ess
2021-11-22,88121.9144271428,88115.78782113707,88127.71408316772,309.60297123138616,309.5725427520377,309.6334885237927,3686.9029040530972,3686.348032541792,3687.526605371201,14354.418010045012,14353.108548769462,14355.69591947793,250.00000000000017
2021-11-23,88417.88674269988,88411.57175434344,88423.74526826802,311.4117017347371,311.38165918407725,311.44353794981174,3711.987025649631,3711.487428335378,3712.6076903900803,14436.412183065306,14435.09394214334,14437.761107679524,249.9999999999999
2021-11-24,88687.22849649857,88681.0427434331,88693.31585314016,313.1853964624296,313.1561094822829,313.2158398642566,3736.7450790199423,3736.2178500143136,3737.3520222191714,14516.733982748956,14515.470051691564,14518.016823266576,250.00000000000017
2021-11-25,88929.74660242579,88923.75087961115,88935.6752875832,314.9227033222401,314.8922365897881,314.9518943249364,3761.208622623724,3760.6941370215554,3761.790131711469,14595.29563663173,14593.962906293293,14596.52594778009,249.9999999999999
2021-11-26,89146.22154675136,89140.34500135298,89152.40021903759,316.62107173438864,316.5902027470459,316.6505423028761,3785.345028186255,3784.8106099221704,3785.9212692037036,14671.980076448743,14670.636665674958,14673.227874254688,250.00000000000017
2021-11-27,89344.0420521847,89338.16357582946,89350.16923424066,318.27836261125094,318.247954536788,318.3079805717011,3809.118746706186,3808.6727753567793,3809.681149773369,14746.693428641533,14745.32772543264,14747.956267050913,249.9999999999999
2021-11-28,89524.46498468227,89518.72827745491,89530.52920530873,319.89221040276254,319.86171749270335,319.9236507354441,3832.528593273534,3832.0503637932593,3833.122979154687,14819.31181421196,14817.958623935305,14820.653733889327,250.00000000000017
2021-11-29,89701.09355867274,89695.14299823146,89707.0535079664,321.4589959838853,321.42889018094075,321.48904327315887,3855.539759620972,3854.9779199825766,3856.1027969563343,14889.663073035555,14888.374262163947,14890.94817387345,249.9999999999999
2021-11-30,89860.41876414928,89854.50147145818,89866.52610099447,322.9774843073626,322.9479242313049,323.0080480684299,3878.135498070995,3877.586722049129,3878.697546189722,14957.691017192245,14956.424053200717,14959.003821396456,250.00000000000017
2021-12-01,89995.36171716238,89989.58418421973,90001.48774378937,324.4459499954261,324.41535852849887,324.477217049461,3900.2797885435766,3899.7118413701733,3900.8309161838934,15023.323795262648,15022.012637620903,15024.679362506424,249.9999999999999
2021-12-02,90107.48964355148,90101.46839486435,90113.69717231586,325.86278770142826,325.8309976686222,325.89327244572416,3921.9585338252355,3921.405879364738,3922.5027870104304,15086.484334903993,15085.102046051306,15087.802346085255,250.00000000000017
2021-12-03,90199.31799252705,90193.14849823042,90205.76428110182,327.2270452992093,327.19483022162206,327.2576192312279,3943.155234567468,3942.594885742658,3943.6345967757825,15147.13120808077,15145.730598115551,15148.488066498427,249.9999999999999
2021-12-04,90273.97278708499,90267.62495170244,90280.4919938455,328.5373441218363,328.5069212167226,328.56867523791715,3963.8302879466237,3963.2853876442673,3964.4506894355222,15205.212696966844,15203.898281067368,15206.535175976944,250.00000000000017
2021-12-05,90333.91715557144,90327.49643393634,90340.46103252684,329.7913185407398,329.75883231180103,329.8234254941936,3983.972523866575,3983.4223489190717,3984.6225653685206,15260.610173793368,15259.189938032123,15261.957886342547,249.9999999999999
2021-12-06,90388.12999665002,90381.95247053995,90394.66006432408,330.98788491789435,330.9564976046115,331.02004423477615,4003.5582849356733,4002.999286675126,4004.188633291468,15313.279056238822,15311.921301992645,15314.63988957166,250.00000000000017
2021-12-07,90426.73571623905,90420.6632380346,90432.96884028154,332.1248832174957,332.09171617190293,332.1562261312723,4022.5555737554782,4021.963481370739,4023.218584400377,15363.122498944262,15361.688492536607,15364.423173014135,249.9999999999999
